horizon_years,unrealized_gain_fraction,baseline_real_net_pln,oki_real_net_pln,advantage_real_pln,baseline_shortfall_pln,oki_shortfall_pln,baseline_unpaid_tax_pln,oki_unpaid_tax_pln,recommendation
5.0,0.0,234208.87,237376.90,3168.03,0.00,0.00,0.00,0.00,CHANGE
10.0,0.0,278387.74,282641.60,4253.86,0.00,0.00,0.00,0.00,CHANGE
15.0,0.0,334541.96,336536.72,1994.76,0.00,0.00,0.00,0.00,CHANGE
20.0,0.0,405379.77,400709.20,-4670.57,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.0,494278.68,477118.33,-17160.35,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.0,605440.12,568097.73,-37342.39,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.0,744089.47,676424.73,-67664.74,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.0,916714.40,805407.99,-111306.41,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.1,230850.22,233239.18,2388.96,0.00,0.00,0.00,0.00,CHANGE
10.0,0.1,275419.18,277715.20,2296.02,0.00,0.00,0.00,0.00,CHANGE
15.0,0.1,331918.19,330670.16,-1248.03,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.1,403060.74,393723.05,-9337.69,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.1,492229.00,468799.04,-23429.96,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.1,603628.49,558192.00,-45436.49,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.1,742488.26,664630.25,-77858.01,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.1,915299.16,791364.13,-123935.03,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.25,225812.25,226969.96,1157.71,0.00,0.00,0.00,0.00,CHANGE
10.0,0.25,270966.35,270249.30,-717.05,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.25,327982.53,321781.27,-6201.26,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.25,399582.20,383139.98,-16442.22,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.25,489154.47,456198.61,-32955.86,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.25,600911.06,543188.00,-57723.06,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.25,740086.44,646764.48,-93321.96,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.25,913176.31,770091.50,-143084.81,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.4,220774.28,220700.67,-73.61,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,0.4,266513.52,262785.34,-3728.18,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.4,324046.88,312893.92,-11152.96,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.4,396103.65,372558.75,-23544.90,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.4,486079.94,443599.69,-42480.25,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.4,598193.63,528186.87,-70006.76,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.4,737684.63,628903.11,-108781.52,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.4,911053.45,748824.64,-162228.81,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.6,214056.99,212342.13,-1714.86,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,0.6,260576.41,252832.73,-7743.68,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.6,318799.34,301044.08,-17755.26,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.6,391465.59,358447.90,-33017.69,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.6,481980.57,426797.69,-55182.88,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.6,594570.38,508181.72,-86388.66,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.6,734482.21,605083.95,-129398.26,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.6,908222.98,720463.98,-187759.00,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.8,207339.70,203983.41,-3356.29,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,0.8,254639.31,242879.82,-11759.49,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.8,313551.80,289193.80,-24358.00,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.8,386827.53,344338.57,-42488.96,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.8,477881.21,409997.56,-67883.65,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.8,590947.14,488177.81,-102769.33,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.8,731279.79,581264.96,-150014.83,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.8,905392.51,692102.26,-213290.25,0.00,0.00,0.00,0.00,KEEP_BASELINE
