horizon_years,oki_rate,baseline_real_net_pln,oki_real_net_pln,advantage_real_pln,baseline_shortfall_pln,oki_shortfall_pln,baseline_unpaid_tax_pln,oki_unpaid_tax_pln,recommendation
5.0,0.002,234208.87,244855.12,10646.25,0.00,0.00,0.00,0.00,CHANGE
10.0,0.002,278387.74,300686.68,22298.94,0.00,0.00,0.00,0.00,CHANGE
15.0,0.002,334541.96,369248.46,34706.50,0.00,0.00,0.00,0.00,CHANGE
20.0,0.002,405379.77,453442.49,48062.72,0.00,0.00,0.00,0.00,CHANGE
25.0,0.002,494278.68,556835.23,62556.55,0.00,0.00,0.00,0.00,CHANGE
30.0,0.002,605440.12,683802.98,78362.86,0.00,0.00,0.00,0.00,CHANGE
35.0,0.002,744089.47,839720.87,95631.40,0.00,0.00,0.00,0.00,CHANGE
40.0,0.002,916714.40,1031191.06,114476.66,0.00,0.00,0.00,0.00,CHANGE
5.0,0.004,234208.87,242537.33,8328.46,0.00,0.00,0.00,0.00,CHANGE
10.0,0.004,278387.74,295034.74,16647.00,0.00,0.00,0.00,0.00,CHANGE
15.0,0.004,334541.96,358895.51,24353.55,0.00,0.00,0.00,0.00,CHANGE
20.0,0.004,405379.77,436578.57,31198.80,0.00,0.00,0.00,0.00,CHANGE
25.0,0.004,494278.68,531076.37,36797.69,0.00,0.00,0.00,0.00,CHANGE
30.0,0.004,605440.12,646028.38,40588.26,0.00,0.00,0.00,0.00,CHANGE
35.0,0.004,744089.47,785861.96,41772.49,0.00,0.00,0.00,0.00,CHANGE
40.0,0.004,916714.40,955962.68,39248.28,0.00,0.00,0.00,0.00,CHANGE
5.0,0.006,234208.87,240234.47,6025.60,0.00,0.00,0.00,0.00,CHANGE
10.0,0.006,278387.74,289471.48,11083.74,0.00,0.00,0.00,0.00,CHANGE
15.0,0.006,334541.96,348800.62,14258.66,0.00,0.00,0.00,0.00,CHANGE
20.0,0.006,405379.77,420290.02,14910.25,0.00,0.00,0.00,0.00,CHANGE
25.0,0.006,494278.68,506430.78,12152.10,0.00,0.00,0.00,0.00,CHANGE
30.0,0.006,605440.12,610226.84,4786.72,0.00,0.00,0.00,0.00,CHANGE
35.0,0.006,744089.47,735295.67,-8793.80,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.006,916714.40,885998.47,-30715.93,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.0085,234208.87,237376.90,3168.03,0.00,0.00,0.00,0.00,CHANGE
10.0,0.0085,278387.74,282641.60,4253.86,0.00,0.00,0.00,0.00,CHANGE
15.0,0.0085,334541.96,336536.72,1994.76,0.00,0.00,0.00,0.00,CHANGE
20.0,0.0085,405379.77,400709.20,-4670.57,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.0085,494278.68,477118.33,-17160.35,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.0085,605440.12,568097.73,-37342.39,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.0085,744089.47,676424.73,-67664.74,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.0085,916714.40,805407.99,-111306.41,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.01,234208.87,235672.06,1463.19,0.00,0.00,0.00,0.00,CHANGE
10.0,0.01,278387.74,278604.99,217.25,0.00,0.00,0.00,0.00,CHANGE
15.0,0.01,334541.96,329358.79,-5183.17,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.01,405379.77,389358.74,-16021.03,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.01,494278.68,460289.41,-33989.27,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.01,605440.12,544141.61,-61298.51,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.01,744089.47,643269.21,-100820.26,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.01,916714.40,760454.92,-156259.48,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.012,234208.87,233412.51,-796.36,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,0.012,278387.74,273299.17,-5088.57,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.012,334541.96,320001.17,-14540.79,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.012,405379.77,374684.00,-30695.77,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.012,494278.68,438711.80,-55566.88,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.012,605440.12,513681.41,-91758.71,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.012,744089.47,601461.62,-142627.85,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.012,916714.40,704241.62,-212472.78,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,0.015,234208.87,230050.81,-4158.06,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,0.015,278387.74,265497.69,-12890.05,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,0.015,334541.96,306406.08,-28135.88,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,0.015,405379.77,353617.81,-51761.96,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,0.015,494278.68,408103.80,-86174.88,0.00,0.00,0.00,0.00,KEEP_BASELINE
30.0,0.015,605440.12,470984.99,-134455.13,0.00,0.00,0.00,0.00,KEEP_BASELINE
35.0,0.015,744089.47,543554.90,-200534.57,0.00,0.00,0.00,0.00,KEEP_BASELINE
40.0,0.015,916714.40,627306.13,-289408.27,0.00,0.00,0.00,0.00,KEEP_BASELINE
