withdrawal_start_after_years,monthly_withdrawal_pln,baseline_real_net_pln,oki_real_net_pln,advantage_real_pln,baseline_shortfall_pln,oki_shortfall_pln,baseline_unpaid_tax_pln,oki_unpaid_tax_pln,recommendation
0.0,500.0,251546.88,209849.35,-41697.53,0.00,0.00,0.00,0.00,KEEP_BASELINE
5.0,500.0,340298.19,288391.94,-51906.25,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,500.0,414017.03,354359.69,-59657.34,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,500.0,474770.00,409760.73,-65009.27,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,500.0,524538.98,456290.63,-68248.35,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,500.0,565138.08,495367.18,-69770.90,0.00,0.00,0.00,0.00,KEEP_BASELINE
0.0,1000.0,-2468.46,-50.53,2417.93,154554.97,179290.49,5177.77,106.00,WITHDRAWAL_SHORTFALL
5.0,1000.0,82404.19,48605.21,-33798.98,0.00,0.00,0.00,0.00,KEEP_BASELINE
10.0,1000.0,229843.03,180534.45,-49308.58,0.00,0.00,0.00,0.00,KEEP_BASELINE
15.0,1000.0,351344.90,291335.85,-60009.05,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,1000.0,450883.53,384393.98,-66489.55,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,1000.0,532081.52,462548.02,-69533.50,0.00,0.00,0.00,0.00,KEEP_BASELINE
0.0,2000.0,-2401.35,-53.40,2347.95,817534.10,824318.46,5037.00,112.00,WITHDRAWAL_SHORTFALL
5.0,2000.0,-1766.81,-75.33,1691.48,576983.12,592467.82,3706.00,158.00,WITHDRAWAL_SHORTFALL
10.0,2000.0,-4109.52,-46.72,4062.80,237675.54,290114.07,8620.00,98.00,WITHDRAWAL_SHORTFALL
15.0,2000.0,104496.72,54482.73,-50013.99,0.00,0.00,0.00,0.00,KEEP_BASELINE
20.0,2000.0,303576.48,240600.61,-62975.87,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,2000.0,465968.30,396909.69,-69058.61,0.00,0.00,0.00,0.00,KEEP_BASELINE
0.0,3000.0,-1936.05,-32.90,1903.15,1375024.92,1379621.21,4061.00,69.00,WITHDRAWAL_SHORTFALL
5.0,3000.0,-4234.43,-69.13,4165.30,1086563.70,1101423.14,8882.00,145.00,WITHDRAWAL_SHORTFALL
10.0,3000.0,-5017.72,-100.09,4917.63,726521.78,759897.74,10525.00,209.94,WITHDRAWAL_SHORTFALL
15.0,3000.0,-3398.22,-224.55,3173.67,259215.37,331501.85,7128.00,471.00,WITHDRAWAL_SHORTFALL
20.0,3000.0,156266.25,96807.65,-59458.60,0.00,0.00,0.00,0.00,KEEP_BASELINE
25.0,3000.0,399855.62,331270.36,-68585.26,0.00,0.00,0.00,0.00,KEEP_BASELINE
0.0,4000.0,-3474.02,-127.77,3346.25,1914593.08,1921880.35,7287.00,268.00,WITHDRAWAL_SHORTFALL
5.0,4000.0,-5258.00,-113.94,5144.06,1571748.15,1586863.83,11029.00,239.00,WITHDRAWAL_SHORTFALL
10.0,4000.0,-2912.90,-149.22,2763.68,1162511.66,1185366.93,6110.00,313.00,WITHDRAWAL_SHORTFALL
15.0,4000.0,-8973.73,-297.49,8676.24,631909.36,697521.30,18823.00,624.00,WITHDRAWAL_SHORTFALL
20.0,4000.0,8955.63,-194.99,-9150.62,0.00,95135.56,0.00,409.00,KEEP_BASELINE
25.0,4000.0,333743.43,265631.55,-68111.88,0.00,0.00,0.00,0.00,KEEP_BASELINE
